OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
114,L08,BORREGO VALLEY AIRPORT,BORREGO VALLEY,Borrego Springs,San Diego,Community,COMMUNITY,General Aviation,01340.3*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L08,6254.93913297544,1147423.04793082
115,POC,BRACKETT FIELD AIRPORT,BRACKETT FIELD,La Verne,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01757.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=POC,6524.59455691148,1500490.13053167
116,L18,FALLBROOK COMMUNITY AIRPARK,FALLBROOK COMMUNITY AIRPARK,Fallbrook,San Diego,Community,COMMUNITY,General Aviation,01568.5*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L18,5538.07700185653,1686418.7805364
117,FUL,FULLERTON MUNICIPAL AIRPORT,FULLERTON MUNI,Fullerton,Orange,Regional,REGIONAL-Business/Corporate,Reliever,01593.*A,12,http://www.gcr1.com/5010web/airport.cfm?Site=FUL,3992.83946244728,508989.376471958
118,L06,FURNACE CREEK AIRPORT,FURNACE CREEK,Death Valley National Park,Inyo,Community,COMMUNITY-Recreation,Not a NPIAS Facility,01494.61*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=L06,9678.10978128302,2100752.16268206
119,HAF,HALF MOON BAY AIRPORT,HALF MOON BAY,Half Moon Bay,San Mateo,Regional,REGIONAL,Reliever,01638.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=HAF,10043.8958520586,2228755.11153446
120,HJO,HANFORD MUNICIPAL AIRPORT,HANFORD MUNI,Hanford,Kings,Regional,REGIONAL,General Aviation,01641.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=HJO,7719.26666878187,1692143.91297906
121,HHR,JACK NORTHROP FIELD/HAWTHORNE MUNICIPAL AIRPORT,JACK NORTHROP FIELD,Hawthorne,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01647.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=HHR,5665.05732992068,516365.247419892
122,HWD,HAYWARD EXECUTIVE AIRPORT,HAYWARD EXECUTIVE,Hayward,Alameda,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01651.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=HWD,10449.9249403035,3211740.13689335
123,HES,HEALDSBURG MUNICIPAL AIRPORT,HEALDSBURG MUNI,Healdsburg,Sonoma,Community,COMMUNITY,General Aviation,01651.7*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=HES,3392.06681340542,312735.432805015
124,HMT,HEMET-RYAN AIRPORT,HEMET - RYAN,Hemet,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,01654.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=HMT,6635.43224387215,1992031.59354133
125,L26,HESPERIA AIRPORT,HESPERIA,Hesperia,San Bernardino,Community,COMMUNITY,Not a NPIAS Facility,01662.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L26,3407.672491401,151951.157999874
126,PTV,PORTERVILLE MUNICIPAL AIRPORT,PORTERVILLE MUNI,Porterville,Tulare,Regional,REGIONAL,General Aviation,02062.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=PTV,9780.79108592526,3420582.4509756
